Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
1,Acorns_1,Object,Pixabay,4.68627450980392,0.954202711685196,102,2.34653465346535,1.60272045949602,101,4.666666667,0.953462589,45,4.714285714,0.966987557,56,2.244897959,1.57494196,49,2.442307692,1.637950196,52,0.047619046999999526
3,Acorns_3,Object,Pixabay,4.75490196078431,0.958921367116694,102,2.30693069306931,1.51487672275618,101,4.688888889,0.848051838,45,4.821428571,1.046329391,56,2.346938776,1.507633637,49,2.269230769,1.535404202,52,0.132539682
9,Alcohol_6,Object,Pixabay,4.53703703703704,1.04502314892686,108,2.64423076923077,1.63052358754159,104,4.49122807,1.182050383,57,4.588235294,0.875818944,51,2.612244898,1.591858538,49,2.672727273,1.678342938,55,0.09700722400000039
10,Alcohol_7,Object,Pixabay,4.47524752475248,1.15407156975588,101,3.12621359223301,1.65493683103477,103,4.431034483,1.125650985,58,4.534883721,1.202157529,43,3.204081633,1.593993829,49,3.075471698,1.730374088,53,0.10384923799999957
17,Angry_face_3,Person,Wikipedia,2.5,1.06007658979794,102,3.66336633663366,1.79040346136156,101,2.555555556,0.966614419,45,2.482142857,1.128008243,56,3.857142857,1.802775638,49,3.480769231,1.776650126,52,0.07341269899999991
18,Angry_face_4,Person,Flickr/Jan Tik,2.49019607843137,1.14100093316764,102,3.87128712871287,1.85829688874859,101,2.511111111,1.198905225,45,2.5,1.095445115,56,3.795918367,1.978842168,49,3.942307692,1.753578543,52,0.011111110999999951
22,Animal_carcass_1,Animal,Wikipedia,2.72222222222222,1.2367679716003,108,3.76923076923077,2.0537948263999,104,2.964912281,1.322401931,57,2.450980392,1.082843026,51,3.469387755,2.011446834,49,4.036363636,2.072425993,55,0.5139318890000002
24,Animal_carcass_3,Animal,Wikipedia,2.75,1.36117733536735,108,4.42307692307692,2.02744426469696,104,3.070175439,1.437503405,57,2.392156863,1.184540947,51,3.897959184,1.992118826,49,4.890909091,1.959523064,55,0.6780185759999999
32,Baby_1,Person,Pixabay,6.17592592592593,0.993706398126079,108,4.08653846153846,1.76871725183901,104,5.98245614,1.043538419,57,6.392156863,0.896179254,51,3.734693878,1.93407504,49,4.4,1.558726926,55,0.40970072300000027
36,Baby_5,Person,Pixabay,6.13888888888889,1.06304388681557,108,3.72115384615385,1.82993835520997,104,5.859649123,1.140779754,57,6.450980392,0.878947677,51,3.510204082,1.827138576,49,3.909090909,1.828506041,55,0.5913312690000003
